date,author,total_sightings,hours_counted,hph,total_species,tuvu,ospr,wtki,baea,noha,ssha,coha,gosh,rsha,bwha,swha,rtha,feha,rlha,goea,amke,merl,pefa,prfa,unid_accipiter,unid_buteo,unid_eagle,unid_falcon,unid_raptor
20220815,Allen Fish,73,3.5,20.9,4,42,1,0,0,0,0,0,0,0,0,0,28,0,0,0,2,0,0,0,0,0,0,0,0
20220816,Allen Fish,103,4,25.75,4,38,0,0,0,0,0,4,0,0,0,0,60,0,0,0,0,0,1,0,0,0,0,0,0
20220817,Krista Fanucchi,82,4,20.5,4,34,0,0,0,3,0,1,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
20220818,Laura Echavez,59,3.67,16.1,5,34,0,0,0,0,0,1,0,1,0,0,21,0,0,0,0,0,1,0,0,1,0,0,0
20220819,Allen Fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220820,Laura Echavez,11,2.5,4.4,2,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0
20220821,Krista Fanucchi,12,1.67,7.2,2,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20220822,Allen Fish,123,4,30.75,6,55,2,0,0,3,0,0,0,1,0,0,54,0,0,0,0,0,1,0,0,3,0,0,4
20220823,Allen Fish,86,3.5,24.6,4,38,0,0,0,0,0,3,0,0,0,0,44,0,0,0,1,0,0,0,0,0,0,0,0
20220824,Laura Echavez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220825,Allen Fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220826,Allen Fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
